participant_id,kind,task,rep,phase,t0,channel,ptp_uv,flat_frac,clipping,label
P08,gerak,NGEED,2.0,TURUN,22.75,T3,192.7,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TURUN,22.75,T5,0.5,1.0,False,datar
P08,gerak,NGEED,2.0,TURUN,22.75,Fp2,101.1,0.0,False,tinggi
P08,gerak,NGEED,2.0,TURUN,22.75,F4,12.5,0.75,False,datar
P08,gerak,NGEED,2.0,TURUN,22.75,C4,0.0,1.0,False,datar
P08,gerak,NGEED,2.0,TURUN,22.75,P4,0.0,1.0,False,datar
P08,gerak,NGEED,2.0,TURUN,22.75,O2,6.2,0.75,False,datar
P08,gerak,NGEED,2.0,TURUN,22.75,F8,42.4,0.0,False,ok
P08,gerak,NGEED,2.0,TURUN,22.75,T4,67.1,0.0,False,ok
P08,gerak,NGEED,2.0,TURUN,22.75,T6,5.9,0.95,False,datar
P08,gerak,NGEED,2.0,TAHAN,23.89,Fp1,73.7,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,23.89,F3,115.0,0.0,False,tinggi
P08,gerak,NGEED,2.0,TAHAN,23.89,C3,96.6,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,23.89,P3,84.9,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,23.89,O1,150.7,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TAHAN,23.89,F7,139.2,0.0,False,tinggi
P08,gerak,NGEED,2.0,TAHAN,23.89,T3,124.9,0.0,False,tinggi
P08,gerak,NGEED,2.0,TAHAN,23.89,T5,44.6,0.01,False,ok
P08,gerak,NGEED,2.0,TAHAN,23.89,Fp2,169.5,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TAHAN,23.89,F4,50.6,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,23.89,C4,11.3,1.0,False,datar
P08,gerak,NGEED,2.0,TAHAN,23.89,P4,9.2,1.0,False,datar
P08,gerak,NGEED,2.0,TAHAN,23.89,O2,60.4,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,23.89,F8,74.4,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,23.89,T4,80.8,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,23.89,T6,45.0,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,24.89,Fp1,103.4,0.19,False,datar
P08,gerak,NGEED,2.0,TAHAN,24.89,F3,210.7,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TAHAN,24.89,C3,216.8,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TAHAN,24.89,P3,167.0,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TAHAN,24.89,O1,179.3,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TAHAN,24.89,F7,231.2,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TAHAN,24.89,T3,218.8,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TAHAN,24.89,T5,88.7,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,24.89,Fp2,140.5,0.0,False,tinggi
P08,gerak,NGEED,2.0,TAHAN,24.89,F4,51.1,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,24.89,C4,56.8,0.01,False,ok
P08,gerak,NGEED,2.0,TAHAN,24.89,P4,56.8,0.01,False,ok
P08,gerak,NGEED,2.0,TAHAN,24.89,O2,81.7,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,24.89,F8,125.1,0.0,False,tinggi
P08,gerak,NGEED,2.0,TAHAN,24.89,T4,93.0,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,24.89,T6,50.2,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,25.89,Fp1,20.5,0.6,False,datar
P08,gerak,NGEED,2.0,TAHAN,25.89,F3,129.3,0.0,False,tinggi
P08,gerak,NGEED,2.0,TAHAN,25.89,C3,153.7,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TAHAN,25.89,P3,126.9,0.0,False,tinggi
P08,gerak,NGEED,2.0,TAHAN,25.89,O1,82.7,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,25.89,F7,127.2,0.0,False,tinggi
P08,gerak,NGEED,2.0,TAHAN,25.89,T3,103.2,0.0,False,tinggi
P08,gerak,NGEED,2.0,TAHAN,25.89,T5,55.6,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,25.89,Fp2,85.5,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,25.89,F4,28.5,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,25.89,C4,62.8,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,25.89,P4,48.1,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,25.89,O2,53.8,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,25.89,F8,65.6,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,25.89,T4,53.6,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,25.89,T6,31.7,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,Fp1,70.5,0.41,False,datar
P08,gerak,NGEED,2.0,TAHAN,26.89,F3,43.5,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,C3,74.1,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,P3,61.6,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,O1,27.9,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,F7,38.9,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,T3,29.1,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,T5,53.3,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,Fp2,97.2,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,F4,20.6,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,C4,48.9,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,P4,41.7,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,O2,27.0,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,F8,62.7,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,T4,50.1,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,26.89,T6,38.8,0.0,False,ok
P08,gerak,NGEED,2.0,TAHAN,27.89,Fp1,154.5,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TAHAN,27.89,F3,11.0,0.99,False,datar
P08,gerak,NGEED,2.0,TAHAN,27.89,C3,18.9,0.79,False,datar
P08,gerak,NGEED,2.0,TAHAN,27.89,P3,4.5,0.79,False,datar
P08,gerak,NGEED,2.0,TAHAN,27.89,O1,34.1,0.4,False,datar
P08,gerak,NGEED,2.0,TAHAN,27.89,F7,39.1,0.4,False,datar
