participant_id,kind,task,rep,phase,a,b,dur,delta_Fp1,delta_F3,delta_C3,delta_P3,delta_O1,delta_F7,delta_T3,delta_T5,delta_Fp2,delta_F4,delta_C4,delta_P4,delta_O2,delta_F8,delta_T4,delta_T6,emg_Fp1,emg_F3,emg_C3,emg_P3,emg_O1,emg_F7,emg_T3,emg_T5,emg_Fp2,emg_F4,emg_C4,emg_P4,emg_O2,emg_F8,emg_T4,emg_T6
P08,gerak,AGEM KIRI,4.0,TURUN,358.77,361.75,2.99,16.33,22.4,19.61,19.9,17.17,21.05,17.02,26.54,16.89,16.54,12.3,9.43,14.72,12.32,14.77,19.28,6.35,7.31,7.95,8.08,9.28,11.21,8.08,16.31,9.63,17.97,13.71,15.73,16.62,12.14,12.2,15.75
P08,gerak,AGEM KIRI,4.0,TAHAN,361.25,367.48,6.23,-0.86,-0.42,-4.28,-7.62,2.03,-0.0,0.93,-0.39,6.62,1.41,-3.17,-0.83,2.53,6.96,9.35,0.28,-3.52,-8.72,-5.69,-9.47,2.47,-1.65,1.32,1.26,3.97,4.42,1.69,5.34,8.0,4.22,8.07,3.53
P08,gerak,AGEM KIRI,4.0,NAIK,366.98,369.45,2.47,2.63,10.33,6.44,7.61,6.15,7.82,4.06,13.74,19.17,16.18,12.78,11.41,16.8,10.0,18.59,14.94,-5.54,-3.4,1.03,0.98,-0.6,-3.8,-2.94,6.06,8.43,10.68,6.68,9.66,14.61,12.18,13.81,10.5
P08,gerak,AGEM KIRI,4.0,POST,369.95,371.45,1.5,6.51,14.19,12.8,12.43,8.46,12.09,7.43,4.92,12.49,10.86,9.9,5.74,10.94,8.94,2.03,11.38,2.77,2.95,3.53,3.34,4.58,4.2,5.37,-1.97,2.92,9.39,4.4,5.94,6.68,2.34,3.21,3.34
P08,acuan,BERDIRI RILEKS,,ACUAN,17.26,21.26,4.0,-0.61,-5.73,-0.62,-2.7,-11.51,-4.83,-8.61,2.22,-1.33,0.0,-0.18,0.01,-1.96,0.66,-4.43,-1.36,0.32,-7.92,-1.89,-1.89,-7.81,-5.2,-5.64,-0.26,2.01,-2.09,-0.32,0.09,-2.31,0.68,-1.05,-4.32
P08,acuan,BERDIRI RILEKS,,ACUAN,33.84,37.34,3.5,-7.66,-2.07,0.0,0.0,-17.16,-5.43,-13.29,6.13,-1.76,-0.63,0.0,0.07,0.0,0.0,-5.33,1.4,0.33,0.66,3.41,3.49,-3.35,0.85,0.91,0.48,2.48,0.0,0.47,0.29,0.0,2.22,0.0,-3.38
P08,acuan,BERDIRI RILEKS,,ACUAN,49.82,53.38,3.57,-5.96,-4.09,-2.92,-1.68,-21.19,-5.22,-16.77,4.92,0.0,6.33,1.14,0.85,2.78,-0.67,2.08,0.76,-3.79,-2.47,0.66,1.14,-8.39,-1.61,-3.96,0.87,0.0,1.19,0.6,1.81,1.01,0.55,0.41,1.98
P08,acuan,BERDIRI RILEKS,,ACUAN,65.7,69.81,4.11,-20.09,7.18,5.25,5.2,0.43,4.24,0.0,7.45,2.22,5.51,-2.94,-0.88,1.89,-2.16,1.42,4.37,-19.08,0.69,1.45,1.23,0.95,0.0,-0.16,0.0,-0.99,1.2,-5.27,-3.39,0.91,-3.48,0.42,0.0
P08,acuan,BERDIRI RILEKS,,ACUAN,82.37,85.23,2.86,3.14,-15.75,-11.12,-12.32,-19.71,-10.4,-16.37,5.28,0.4,-2.35,1.27,0.95,-1.25,-0.41,1.66,3.89,1.22,-14.95,-7.22,-7.6,-13.99,-9.06,-11.32,-0.87,-1.03,-3.58,-1.17,0.0,-3.46,0.0,-0.07,-1.79
P08,acuan,BERDIRI RILEKS,,ACUAN,97.89,103.89,6.0,0.13,13.89,11.6,11.03,6.57,12.43,8.1,4.37,10.19,9.33,-18.18,-36.11,1.82,4.0,9.39,6.36,-1.42,6.49,6.77,6.51,5.26,6.91,6.26,0.52,2.05,2.01,-10.85,-22.6,-0.86,-0.19,2.24,4.98
