frame,t,raw,task,subphase
2313,77.176,"""fx
8
ey,
",UNKNOWN,
2315,77.231,""" feX
8
Sey,
",UNKNOWN,
2319,77.37,""" fe\
8
ey,
",UNKNOWN,
2321,77.439," fX
8
ey,
",UNKNOWN,
2322,77.467,"BERDIRI RILEKS
fo
8 |
rs
",BERDIRI RILEKS,
2323,77.509,"BERDIRI RILEKS
fo»
8 |
V7
",BERDIRI RILEKS,
2338,78.009,"BERDIRI RILEKS
fo»
8 |
Va /
",BERDIRI RILEKS,
2353,78.508,"BERDIRI RILEKS
{om
7 |
Va /
",BERDIRI RILEKS,
2368,79.009,"BERDIRI RILEKS
{om \
7 |
Vf
",BERDIRI RILEKS,
2383,79.508,"BERDIRI RILEKS
(6
Ne
",BERDIRI RILEKS,
2398,80.009,"BERDIRI RILEKS
(6
Ne
",BERDIRI RILEKS,
2413,80.508,"BERDIRI RILEKS
(5 \
Ye
",BERDIRI RILEKS,
2428,81.009,"BERDIRI RILEKS
_,
| 5
",BERDIRI RILEKS,
2443,81.508,"BERDIRI RILEKS
(4)
Nea
",BERDIRI RILEKS,
2458,82.009,"BERDIRI RILEKS
(4)
Nea
",BERDIRI RILEKS,
2473,82.508,"BERDIRI RILEKS
(3
ey,
",BERDIRI RILEKS,
2488,83.009,"BERDIRI RILEKS
(3
ey,
",BERDIRI RILEKS,
2503,83.508,"BERDIRI RILEKS
(2)
Nee
",BERDIRI RILEKS,
2518,84.008,"BERDIRI RILEKS
(2)
Ke
",BERDIRI RILEKS,
2533,84.508,"BERDIRI RILEKS
(1
Ye
",BERDIRI RILEKS,
2548,85.008,"BERDIRI RILEKS
(1
Ye
",BERDIRI RILEKS,
2551,85.105,"BERDIRI RILEKS
(1
Ye
",BERDIRI RILEKS,
2553,85.174,"BERDIRI RILEKS
(1
Ye
",BERDIRI RILEKS,
2554,85.202,"AGEM KIRI
~
1
TURUN
",AGEM KIRI,TURUN
2555,85.244,"AGEM KIRI
~
1
TURUN
",AGEM KIRI,TURUN
2563,85.507,"AGEM KIRI
~
1
TURUN
",AGEM KIRI,TURUN
2578,86.008,"AGEM KIRI
~
1
TURUN
",AGEM KIRI,TURUN
2593,86.508,"AGEM KIRI
2 \
TURUN
",AGEM KIRI,TURUN
2608,87.008,"AGEM KIRI
2
TURUN
",AGEM KIRI,TURUN
2611,87.104,"AGEM KIRI
2
TURUN
",AGEM KIRI,TURUN
2613,87.174,"AGEM KIRI
2
TURUN
",AGEM KIRI,TURUN
2614,87.202,"AGEM KIRI
TURUN
",AGEM KIRI,TURUN
2615,87.23,"AGEM KIRI
3)
",AGEM KIRI,
2623,87.507,"AGEM KIRI
3)
",AGEM KIRI,
2638,88.008,"AGEM KIRI
3)
",AGEM KIRI,
2641,88.104,"AGEM KIRI
3)
",AGEM KIRI,
2643,88.174,"AGEM KIRI
3)
",AGEM KIRI,
2644,88.201,"AGEM KIRI
+)
TAHAN
",AGEM KIRI,TAHAN
2645,88.243,"AGEM KIRI
+)
TAHAN
",AGEM KIRI,TAHAN
2653,88.507,"AGEM KIRI
+)
TAHAN
",AGEM KIRI,TAHAN
2668,89.007,"AGEM KIRI
+)
TAHAN
",AGEM KIRI,TAHAN
2683,89.507,"AGEM KIRI
TAHAN
",AGEM KIRI,TAHAN
2698,90.007,"AGEM KIRI
TAHAN )
",AGEM KIRI,TAHAN
2701,90.104,"AGEM KIRI
TAHAN )
",AGEM KIRI,TAHAN
2703,90.174,"AGEM KIRI
TAHAN )
",AGEM KIRI,TAHAN
2704,90.201,"AGEM KIRI
NAIK )
",AGEM KIRI,NAIK
2705,90.243,"AGEM KIRI
",AGEM KIRI,
2713,90.507,"AGEM KIRI
Y
",AGEM KIRI,
2728,91.007,"AGEM KIRI
Y)
",AGEM KIRI,
2731,91.104,"AGEM KIRI
Y)
",AGEM KIRI,
2732,91.132,"AGEM KIRI
3
",AGEM KIRI,
2733,91.173,"AGEM KIRI
QD
NAIK
",AGEM KIRI,NAIK
2735,91.243,"AGEM KIRI
2)
NAIK
",AGEM KIRI,NAIK
2743,91.507,"AGEM KIRI
(2)
NAIK
",AGEM KIRI,NAIK
2758,92.007,"AGEM KIRI
(2)
NAIK
",AGEM KIRI,NAIK
2761,92.104,"AGEM KIRI
(2)
NAIK
",AGEM KIRI,NAIK
2763,92.173,"AGEM KIRI
(2)
NAIK
",AGEM KIRI,NAIK
2764,92.201,"AGEM KIRI
(2)
",AGEM KIRI,
2765,92.243,"AGEM KIRI
(2)
",AGEM KIRI,
2773,92.507,"AGEM KIRI
",AGEM KIRI,
2788,93.007,"AGEM KIRI
",AGEM KIRI,
2791,93.103,"AGEM KIRI
",AGEM KIRI,
2793,93.173,"AGEM KIRI
",AGEM KIRI,
2794,93.201,"3:00
[-n [on | ED
",UNKNOWN,
2795,93.242,,UNKNOWN,
2799,93.368,,UNKNOWN,
2801,93.437,"[a0 | on | ES
",UNKNOWN,
2802,93.464,"ISTIRAHAT UTAMA
[-an |f oo | ED
",ISTIRAHAT UTAMA,
2803,93.506,"ISTIRAHAT UTAMA
[-an |f oo | ED
",ISTIRAHAT UTAMA,
2818,94.007,"ISTIRAHAT UTAMA
[-an |f on | ECE
",ISTIRAHAT UTAMA,
2833,94.506,"ISTIRAHAT UTAMA
[-on lf oo | EEE
",ISTIRAHAT UTAMA,
2848,95.006,"ISTIRAHAT UTAMA
[-on lf oo | EEE
",ISTIRAHAT UTAMA,
2863,95.506,"ISTIRAHAT UTAMA
[-on lf oo | EEE
",ISTIRAHAT UTAMA,
2878,96.006,"ISTIRAHAT UTAMA
[-on lf oo | EEE
",ISTIRAHAT UTAMA,
2893,96.506,"ISTIRAHAT UTAMA
[-on lf oo | EEE
",ISTIRAHAT UTAMA,
2908,97.006,"ISTIRAHAT UTAMA
[-on lf oo | EEE
",ISTIRAHAT UTAMA,
2923,97.506,"ISTIRAHAT UTAMA
[-on lf oo | EEE
",ISTIRAHAT UTAMA,
2938,98.006,"ISTIRAHAT UTAMA
[-an lf oo | EEE
",ISTIRAHAT UTAMA,
2953,98.506,"ISTIRAHAT UTAMA
[-an lf on | EEE
",ISTIRAHAT UTAMA,
2968,99.006,"ISTIRAHAT UTAMA
[-an lf on | EEE
",ISTIRAHAT UTAMA,
2983,99.505,"ISTIRAHAT UTAMA
[-an lf on | EEE
",ISTIRAHAT UTAMA,
2998,100.006,"ISTIRAHAT UTAMA
[-an lf on | EEE
",ISTIRAHAT UTAMA,
3013,100.505,"ISTIRAHAT UTAMA
[-an lf on | EEE
",ISTIRAHAT UTAMA,
