participant_id,task,subphase,n,start,end,rep
P33,ISTIRAHAT UTAMA,,364,93.22,273.201,
P33,BERSIAP,,7,276.2,278.249,
P33,NGEED,TURUN,14,278.249,281.248,3.0
P33,NGEED,TAHAN,14,281.248,284.254,3.0
P33,NGEED,NAIK,14,284.254,286.248,3.0
P33,BERDIRI RILEKS,,21,286.248,294.218,
P33,NGEED,TURUN,12,294.218,297.252,4.0
P33,NGEED,TAHAN,8,297.252,299.252,4.0
P33,NGEED,NAIK,19,299.252,302.28,4.0
P33,BERDIRI RILEKS,,20,302.28,310.286,
P33,AGEM KANAN,TURUN,14,310.286,313.284,3.0
P33,AGEM KANAN,TAHAN,13,313.284,316.284,3.0
P33,AGEM KANAN,NAIK,12,316.284,318.284,3.0
P33,BERDIRI RILEKS,,21,318.284,326.317,
P33,AGEM KANAN,TURUN,13,326.317,329.282,4.0
P33,AGEM KANAN,TAHAN,9,329.282,331.316,4.0
P33,AGEM KANAN,NAIK,18,331.316,334.282,4.0
P33,BERDIRI RILEKS,,21,334.282,342.315,
P33,AGEM KIRI,TURUN,14,342.315,345.314,3.0
P33,AGEM KIRI,TAHAN,8,345.314,347.314,3.0
P33,AGEM KIRI,NAIK,19,347.314,350.335,3.0
P33,BERDIRI RILEKS,,20,350.335,358.347,
P33,AGEM KIRI,TURUN,14,358.347,361.347,4.0
P33,AGEM KIRI,TAHAN,15,361.347,364.353,4.0
P33,AGEM KIRI,NAIK,12,364.353,366.424,4.0
P33,BERDIRI FOKUS MATA TERBUKA,,64,366.424,396.487,
P33,BERDIRI ISTIRAHAT,,31,396.487,411.554,
P33,BERDIRI MATA TERTUTUP,,63,411.554,441.508,
P34,BERSIAP,,12,0.835,5.12,
P34,NGEED,TURUN,14,5.12,8.119,1.0
P34,NGEED,TAHAN,8,8.119,10.118,1.0
P34,NGEED,NAIK,18,10.118,13.139,1.0
